SKU,created_at,day,pSupplierSKU,psupplierCode,qty_count,order_count,price,pName
1000727655,"2014-12-01 00:02:59",17,GU10-GYDA29-WW,122-0005,24,3,2.93,"LED Spot Bulb GU10 3W 29-SMD5050 380LM Warm White(AC220-240V)"
1000727649,"2014-12-01 00:02:59",18,MR16-GYDA29-WW,122-0005,14,3,3.25,"LED Spot Bulb MR16 3W 29xSMD5050 380LM Warm White(AC220-240V)"
1010722941,"2014-12-01 00:02:59",21,12W-W-bulb-WW,141-0005,31,10,5.85,"LED Ball Bulb E27 12W 45*2835SMD 3000-3500K Warm White(AC220V)"
1030825443,"2014-12-01 00:04:12",29,CL-LZ-19-NW,119-0015,187,30,3.72,"LED Candle Bulb E14 3W 210Lm 1-LED High Power Natural White-Silver(AC85-265V)"
1300825890,"2014-12-01 00:09:35",29,SF-348,141-0006,17,6,9.43,"SingFire LED Flashlight Cree XP-E R3 180Lm 1-Mode Natural White-Silver(1x10440/1xAAA)"
1700720456,"2014-12-01 00:20:15",0,SY-CL06-3W-WW,119-0011,1,1,4.92,"LED Down Lamp 3W 240-250Lm Warm White(90-240V,White)"
3240630598,"2014-12-01 00:29:35",30,SCM8001-A6-T,238-0004,6,3,3.58,"Handy Trends Nozzle Kitchen&amp;Bathroom ABS Chrome Finish LED Faucet Light-Temperature Sensor"
1020724823,"2014-12-01 00:31:00",30,G4-X24-WW,122-0005,1099,97,1.63,"LED Corn Bulb G4 1.5W 120LM 24xSMD3014 Warm White(DC12V)"
1000710314,"2014-12-01 00:31:00",30,GY-GU10-24-5050-WW,119-0001,221,26,2.60,"3W GU10 AC185-265V Warm White Spot Bulb"
1000710300,"2014-12-01 00:31:00",29,GY-E14-48-3528-WW,119-0001,41,6,2.11,"2.5W E14 AC185-265V Warm White Spot Bulb"
1020721726,"2014-12-01 00:34:45",30,G9-64LED3014-WW-2,122-0005,1047,155,3.90,"LED Corn Bulb G9 4W 64x3014 SMD 2800-3200K Warm White Light(220-240V)"
1000721233,"2014-12-01 00:34:45",29,SL-41-WW,119-0015,63,8,4.48,"LED Spot Bulb GU10 6W 540-600LM Warm White Light(85-265V,Silver)"
1500822423,"2014-12-01 00:37:56",26,5050-60-AIP65-NW,151-0003,80,32,29.18,"LED Flexible Strip 60W 300*5050SMD IP65 Epoxy Natural White(DC12V/5m)"
1030730840,"2014-12-01 00:39:04",30,R003,119-0001,441,53,2.54,"E14 3W 18x2835SMD 270LM 2800-3200K Warm White Light LED Candle Bulb (185-256V)"
1010723620,"2014-12-01 00:39:04",29,E27-5W-WW-5730,141-0005,341,50,3.25,"LED Ball Bulb E27 5W 400LM 9xSMD5730 Warm White-White(AC85-265V)"
1010730843,"2014-12-01 00:42:26",27,R009,119-0001,27,5,3.09,"E27 5W 30x2835SMD 300LM 2800-3200K Warm White Light LED Ball Bulb (185-256V)"
1640511153,"2014-12-01 00:42:26",29,L1009,245-0003,21,14,3.58,"LED String Light 100-LED 10M Purple Light EU Plug(AC110-220V)"
1770726575,"2014-12-01 00:42:26",28,SY-CL08-3W-WW,119-0011,63,4,5.20,"LED Ceiling Spotlight 3W 255LM High Power Warm White Round Silver Shell(AC110-265V)"
3250630693,"2014-12-01 00:42:41",17,SCM8008-A20-T,238-0004,25,20,12.36,"2.7-inch 1-LED 3-Spray-Mode Chrome Finish ABS Shower Head-Temperature Sensor"
3240630595,"2014-12-01 00:44:53",30,SCM8001-A5-T,238-0004,9,8,5.53,"Popular style Water Powered Kitchen ABS Chrome Finish LED Faucet Light-Temperature Sensor"
3251030659,"2014-12-01 00:44:53",0,SCM8008-A9-C,238-0004,1,1,8.46,"3.2-inch 6-LED Chrome Finish ABS Shower Head-Colorful"
3021126848,"2014-12-01 00:44:53",29,E14-E27-002,119-0016,86,26,0.72,"LED Lamp Holder E14 to E27-White"
1300827109,"2014-12-01 00:44:53",14,C8-XML-T6,141-0004,18,12,18.21,"LED Flashlight CREE XML-T6 900LM 5-Mode White Light-Black(1x18650)"
3551227337,"2014-12-01 00:44:53",27,GG706,245-0002,28,17,6.50,"LED Flashing Cup 4-LED Colorful Light Water Induction Skull Shaped(3xAG13)"
3200627372,"2014-12-01 00:44:53",30,GG812-RC,245-0002,107,79,13.01,"LED Stage Light E27 8W White and RGB Light Sound Control Remote Control-White(AC85-260V)"
1020721670,"2014-12-01 00:45:56",28,G4-A24-WW,122-0005,321,47,3.09,"LED Corn Bulb G4 3.2W 24*5050SMD 300LM 2800-3200K Warm White(DC12V)"
1020726673,"2014-12-01 00:45:56",24,G4-ACX126-WW,122-0005,39,12,8.46,"LED Corn Bulb G4 6W 600LM 126xSMD3014 Warm White(AC/DC12-24V)"
1000725069,"2014-12-01 00:45:58",29,LX-DB-21,119-0014,224,40,5.85,"LED Spot Bulb GU10 5.5W 300-350LM 5xSMD2835 Warm White-White Shell(AC110-240V)"
1500622819,"2014-12-01 00:48:53",30,5050-60-CIP65-RGB-EU,151-0003,47,20,45.25,"RGB LED Strip Light 60W 300*5050SMD IP65 Gift Box with Remote Controller and Adapter-EU Plug(AC110-256V/5m)"
1640611180,"2014-12-01 00:51:13",13,L8010,245-0003,49,29,9.11,"LED String Light 50-LED 5M RGB Light Ball Shaped EU Plug(AC110-220V)"
1640611145,"2014-12-01 00:51:13",30,L1001,245-0003,33,22,3.25,"LED String Light 100-LED 10M RGB Light EU Plug(AC110-220V)"
2831030011,"2014-12-01 00:51:13",23,"GV Calendar",245-0002,29,19,8.60,"LED Starry Sky Projection Calendar Thermometer Music LCD Digital Alarm Clock"
2300927356,"2014-12-01 00:51:25",0,GG802-B,245-0002,1,1,10.41,"LED Night Lamp White Light USB Rechargeable Dog Style"
1030930852,"2014-12-01 00:53:40",30,R004,119-0001,541,77,2.54,"E14 3W 18x2835SMD 270LM 6000-6500K Cool White Light LED Candle Bulb (185-256V)"
1640911155,"2014-12-01 00:53:40",23,L2002,245-0003,84,23,6.50,"LED String Light 100-LED White Light Icicle Shaped EU Plug(AC110-220V)"
1010726088,"2014-12-01 00:57:29",28,HJ-QPD-20-WW,119-0012,5,4,18.37,"LED Ball Bulb E27 20W 1950-2000Lm 4-COB Warm White-Silver Shell(AC90-240V)"
2330231003,"2014-12-01 01:00:12",23,GV-O-P-L-B,245-0002,17,15,14.63,"Blue LED Night Light Projector Ocean Daren Waves Projector Lamp With Mini Speaker EU Standard"
1030711328,"2014-12-01 01:01:19",27,JWB-3W-012-WW,119-0016,316,37,3.25,"3W LED Candle Bulb E14 AC110-240V Dimmable Warm White"
1000926998,"2014-12-01 01:05:28",0,MG052,119-0001,1,1,18.86,"LED Spot Bulb GU10 5W 380-400LM COB Cool White-Black(AC85-265V) 4PCS"
1000726967,"2014-12-01 01:05:28",18,MG021,119-0001,3,3,21.14,"LED Spot Bulb GU10 3W 260LM 18xSMD2835 Warm White-Silver(AC220V) 10PCS"
1750927543,"2014-12-01 01:05:28",29,GG905,245-0002,24,8,12.36,"LED Cabinet Light 10-LED White Light Shaking Sensor-Silver(4xAAA)"
2500726725,"2014-12-01 01:07:39",29,PC-N100W-SMD-180V-WW,206-0005,94,26,53.66,"Waterproof LED Floodlight 100W 9500-10000LM 176xSMD5730 Warm White-Black(AC180-240V)"
3240630612,"2014-12-01 01:09:07",29,SCM8001-A11-T,238-0004,16,12,5.53,"Heat Sensitive Bathroom ABS Chrome Finish LED Faucet Light-Temperature Sensor"
2420920006,"2014-12-01 01:09:51",26,SF-551B,141-0006,36,22,11.71,"Cree T6 1000-Lumen Runtime 3-4 Hours LED Headlamp (with Strap)"
2500922316,"2014-12-01 01:09:56",18,AN-FG-001-CW,119-0016,6,4,15.28,"Waterproof LED Floodlight 10W 800-900Lm COB Induction Cool White-White(AC85-265V)"
1010725977,"2014-12-01 01:09:56",0,BL-Q128-WW,119-0015,1,1,5.68,"LED Ball Bulb E27 6W 480Lm 12xSMD5730 Warm White-Silver(AC85-265V)"
3001110335,"2014-12-01 01:10:15",14,ZF-L-60W-4,231-0004,12,2,26.02,"60W IP67 Constant Current Power Supply"
1010930856,"2014-12-01 01:13:16",29,G002,119-0001,207,26,1.95,"E27 3W 13x2835SMD 240LM 6000-6500K Cool White Light LED Ball Bulb (185-256V)"
1010723622,"2014-12-01 01:13:16",30,E27-7W-WW-5730,141-0005,733,129,4.07,"LED Ball Bulb E27 7W 570LM 15xSMD5730 Warm White-White(AC85-265V)"
1020926647,"2014-12-01 01:14:22",29,E27-G56-220V-CW,122-0005,173,45,5.37,"LED Corn Bulb E27 9W 1400LM 56xSMD5730 Cool White(AC220-240V)"
1000725089,"2014-12-01 01:14:41",26,LX-SB-35,119-0014,166,31,5.85,"LED Spot Bulb MR16(GU5.3) 6W 480-530LM 48xSMD2835 Warm White-Silver(DC12V)"
1020725159,"2014-12-01 01:16:02",29,LX-R7S-7,119-0014,23,10,10.41,"LED Corn Bulb R7S 10W 850-950LM 30xSMD5730 Warm White-White Shell(AC110-240V)"
1020930824,"2014-12-01 01:16:02",20,R7S006,119-0001,9,4,8.13,"R7S 10W 42x5050SMD 864LM 6000-6500K Cool White Light LED Corn Bulb (85-256V)"
1020910329,"2014-12-01 01:16:02",27,GY-E27-86-5050-CW,119-0001,221,13,10.02,"15W E27 AC220-240V Cool White Corn Bulb"
1020710328,"2014-12-01 01:16:02",29,GY-E27-86-5050-WW,119-0001,35,14,10.02,"15W E27 AC220-240V Warm White Corn Bulb"
1640711159,"2014-12-01 01:20:44",23,L2007,245-0003,30,12,6.50,"LED String Light 100-LED Warm White Icicle Shaped EU Plug(AC110-220V)"
1000720103,"2014-12-01 01:28:12",30,SPM-4W-001WW,119-0016,674,72,2.86,"LED Spot Bulb 4W MR16 DC12 Warm White Dimmable"
3240630627,"2014-12-01 01:31:47",18,SCM8002-A6-T,238-0004,2,2,6.50,"Cylindrical Kitchen Metal Chrome Finish LED Faucet Light-Temperature Sensor"
1000720105,"2014-12-01 01:33:41",28,SPM-4W-005WW,119-0016,34,6,3.90,"LED Spot Bulb 4W E14 AC100-220V Warm White Dimmable"
1300920078,"2014-12-01 01:37:58",27,SF-603A-black,141-0006,35,23,8.46,"Cree Q5 Runtime 2-3 Hours 1000-Lumen Black Shell LED Flashlight"
